,verylow,low,medium,high,extreme
552,6698,2449,37,0,0
553,3786,5335,63,0,0
554,7625,1558,1,0,0
555,8271,864,49,0,0
556,6438,2739,7,0,0
557,5851,3325,8,0,0
558,2452,6064,668,0,0
559,4809,2035,2338,2,0
560,1604,4856,2662,62,0
561,4176,1687,2022,1299,0
562,3354,4297,1532,1,0
563,6308,2873,3,0,0
564,6085,3005,94,0,0
565,9102,82,0,0,0
566,3352,5832,0,0,0
567,5118,4066,0,0,0
568,4368,4349,467,0,0
569,4324,4163,697,0,0
570,3788,3113,2030,253,0
571,2490,4580,1743,350,21
572,4779,2127,2252,26,0
573,4588,3162,1236,198,0
574,3262,4849,1073,0,0
575,3592,4388,1198,6,0
576,4691,3973,520,0,0
577,4030,4995,159,0,0
578,3880,5241,63,0,0
579,6312,2872,0,0,0
580,7524,1655,5,0,0
581,6378,2795,11,0,0
582,2201,3473,3488,22,0
583,3042,5316,824,2,0
584,3662,2792,2344,386,0
585,3854,3906,1295,129,0
586,2718,3777,2618,71,0
587,4562,4535,87,0,0
588,7832,1352,0,0,0
589,7722,1462,0,0,0
590,7438,1668,78,0,0
591,8349,835,0,0,0
592,6743,2441,0,0,0
593,3407,5568,209,0,0
594,4472,3067,1643,2,0
595,1790,5224,2168,2,0
596,3119,2416,3308,341,0
597,4653,3721,810,0,0
598,5393,3306,485,0,0
599,3450,5221,513,0,0
600,4420,4650,114,0,0
601,4960,4224,0,0,0
602,8643,541,0,0,0
603,5869,3315,0,0,0
604,3833,5351,0,0,0
605,1611,6619,954,0,0
606,5401,2935,846,2,0
607,5079,3693,412,0,0
608,3607,3995,1568,14,0
609,4242,3182,1733,27,0
610,6163,2980,41,0,0
611,6080,3080,24,0,0
612,6506,2676,2,0,0
613,6074,3003,107,0,0
614,6617,2505,62,0,0
615,5947,3237,0,0,0
616,3402,4693,1089,0,0
617,2663,5475,1046,0,0
618,4136,4249,799,0,0
619,342,2585,3784,2278,195
620,1408,2261,3112,2296,107
621,868,4162,2365,1653,136
622,3205,4934,1045,0,0
623,3546,4923,715,0,0
624,5510,3647,27,0,0
625,5856,3326,2,0,0
626,5193,2964,1027,0,0
627,8466,718,0,0,0
628,5124,4010,50,0,0
629,3101,5457,626,0,0
630,3540,3656,1973,15,0
631,3449,1644,3137,946,8
632,4231,3280,1604,69,0
633,3962,3588,1610,24,0
634,1704,4310,2885,285,0
635,5692,3460,32,0,0
636,8422,762,0,0,0
637,7304,1880,0,0,0
638,8337,847,0,0,0
639,6994,2064,126,0,0
640,4256,4818,110,0,0
641,3825,4655,704,0,0
642,1769,5865,1533,17,0
643,3094,1717,3053,1320,0
644,3210,1819,1757,2330,68
645,2372,3696,1855,1240,21
646,1444,3105,4249,386,0
647,3637,5007,540,0,0
648,7081,2089,14,0,0
649,6585,2599,0,0,0
650,8015,1169,0,0,0
651,7862,1322,0,0,0
652,6393,2708,83,0,0
653,4582,4272,330,0,0
654,7471,1708,5,0,0
655,3227,3592,2358,7,0
656,4201,3036,1942,5,0
657,2858,2582,3069,675,0
658,3740,2096,2475,873,0
659,5164,3264,756,0,0
660,7871,1313,0,0,0
661,5466,2746,972,0,0
662,2517,3477,3190,0,0
663,6444,2722,18,0,0
664,8096,871,217,0,0
665,3547,4893,744,0,0
666,2934,3518,2098,634,0
667,4683,1197,2160,1144,0
668,3005,2810,2671,696,2
669,2678,4778,1722,6,0
670,5175,4009,0,0,0
671,5243,3922,19,0,0
672,4762,4387,35,0,0
673,7462,1701,21,0,0
674,8342,842,0,0,0
675,5634,3516,34,0,0
676,5335,3849,0,0,0
677,2989,6168,27,0,0
678,2488,4553,2143,0,0
679,3298,5466,420,0,0
680,2780,2455,2404,1545,0
681,1679,2437,3165,1903,0
682,3275,4820,1088,1,0
683,4631,3015,1538,0,0
684,7717,1467,0,0,0
685,8068,1116,0,0,0
686,6837,2347,0,0,0
687,7857,1320,7,0,0
688,4761,3537,886,0,0
689,1590,6974,620,0,0
690,2780,4489,1915,0,0
691,3399,3290,2414,81,0
692,3265,2010,3050,858,1
693,4720,2129,2330,5,0
694,4048,3437,1696,3,0
695,2030,2973,4162,19,0
696,8117,1066,1,0,0
697,6956,2228,0,0,0
698,3765,5085,334,0,0
699,5281,3885,18,0,0
700,3167,5327,690,0,0
701,2149,3552,3483,0,0
702,2888,3477,2496,323,0
703,3054,2663,2317,1128,22
704,2687,2891,2156,1384,66
705,2260,4154,1910,860,0
706,3824,3725,1623,12,0
707,3198,2696,3289,1,0
708,4007,5039,138,0,0
709,7211,1973,0,0,0
710,8219,955,10,0,0
711,5150,3735,299,0,0
712,6199,2893,92,0,0
713,1767,7123,294,0,0
714,2311,5442,1431,0,0
715,2458,5850,876,0,0
716,3431,4392,1361,0,0
717,1562,5116,2470,36,0
718,4847,3855,482,0,0
719,4899,3152,1133,0,0
720,8954,230,0,0,0
721,8677,507,0,0,0
722,9156,28,0,0,0
723,5835,3203,146,0,0
724,6413,2770,1,0,0
725,3771,4387,1026,0,0
726,3483,5554,147,0,0
727,1518,3991,3623,52,0
728,4015,4733,430,6,0
729,1250,4679,3008,247,0
730,3163,3904,2103,14,0
731,5237,2629,1318,0,0
732,4729,4451,4,0,0
733,5959,3169,56,0,0
734,8916,268,0,0,0
735,8180,995,9,0,0
736,8442,742,0,0,0
737,3442,5688,54,0,0
738,3601,4053,1530,0,0
739,1821,5545,1810,8,0
740,2403,5924,857,0,0
741,1468,4847,2738,131,0
742,1853,4458,2872,1,0
743,6163,2956,65,0,0
744,5620,3561,3,0,0
745,7120,2064,0,0,0
746,7008,2175,1,0,0
747,6088,3060,36,0,0
748,7801,1383,0,0,0
749,4789,4389,6,0,0
750,2016,4157,3005,6,0
751,2145,4910,2081,48,0
752,3500,1648,2733,1303,0
753,1974,2811,1969,2430,0
754,4535,3158,1491,0,0
755,4344,4600,240,0,0
756,8769,415,0,0,0
757,8027,1149,8,0,0
758,5334,3777,73,0,0
759,7796,1388,0,0,0
760,4970,3428,786,0,0
761,8040,1144,0,0,0
762,755,6808,1602,19,0
763,5769,1762,1509,144,0
764,3476,2659,2596,453,0
765,1355,3606,2617,1453,153
766,1005,3411,3009,1746,13
767,2121,4077,2530,456,0
768,6910,2274,0,0,0
769,7260,1923,1,0,0
770,8617,567,0,0,0
771,4795,3992,397,0,0
772,4951,3224,1009,0,0
773,4442,3324,1418,0,0
774,1136,5764,2282,2,0
775,3471,3641,2036,36,0
776,4545,2534,1789,315,1
777,3606,2233,2441,904,0
778,2300,4986,1894,4,0
779,3957,3679,1548,0,0
780,6993,2191,0,0,0
781,5034,4135,15,0,0
782,8994,190,0,0,0
783,5684,3435,65,0,0
784,2335,5325,1524,0,0
785,1126,5027,3000,31,0
786,5242,3672,270,0,0
787,3893,3345,1696,250,0
788,2478,3861,2618,227,0
789,2228,4433,2348,175,0
790,3156,4786,1242,0,0
791,7216,1968,0,0,0
792,5288,3677,219,0,0
793,5241,3745,198,0,0
794,7085,2099,0,0,0
795,7489,1680,15,0,0
796,4579,3430,1175,0,0
797,2157,4485,2540,2,0
798,2672,5277,1235,0,0
799,2887,2164,3445,686,2
800,1569,2131,4025,1453,6
801,3700,1501,1946,2022,15
802,4002,4110,1071,1,0
803,3758,5169,257,0,0
804,7306,1878,0,0,0
805,9174,10,0,0,0
806,5806,3378,0,0,0
807,5161,3979,44,0,0
808,1360,5643,2181,0,0
809,1596,2582,2959,2028,19
810,932,3471,3903,878,0
811,1049,4992,3140,3,0
812,3135,5378,665,6,0
813,2729,4744,1711,0,0
814,4410,4154,620,0,0
815,7411,1773,0,0,0
816,6123,3056,5,0,0
817,8509,675,0,0,0
818,5348,3815,21,0,0
819,8857,327,0,0,0
820,6656,2516,12,0,0
821,1244,6025,1915,0,0
822,1546,5306,2330,2,0
823,3424,2161,3101,486,12
824,2609,2026,2166,2319,64
825,3841,2553,2006,784,0
826,3422,4595,1167,0,0
827,3778,3856,1550,0,0
828,8928,256,0,0,0
829,7488,1696,0,0,0
830,5027,4157,0,0,0
831,6496,2682,6,0,0
832,6800,2384,0,0,0
833,2259,4649,2270,6,0
834,3320,4683,1181,0,0
835,1728,2971,4423,62,0
836,3841,3462,1763,118,0
837,2666,4249,2269,0,0
838,5572,3350,262,0,0
839,8586,598,0,0,0
840,6849,2334,1,0,0
841,7012,2172,0,0,0
842,2831,5767,586,0,0
843,3259,5171,754,0,0
844,7519,1629,36,0,0
845,720,6299,2044,121,0
846,213,5035,3923,13,0
847,114,872,5976,2144,78
848,2162,3932,2830,260,0
849,2144,3966,3066,8,0
850,3824,4379,981,0,0
851,6762,2215,207,0,0
852,8122,1062,0,0,0
853,8889,295,0,0,0
854,8457,727,0,0,0
855,7737,1447,0,0,0
856,3385,4807,992,0,0
857,6243,2834,107,0,0
858,435,4062,3897,790,0
859,3096,2933,2512,639,4
860,2797,2940,2321,1089,37
861,3332,4061,1736,55,0
862,3583,3726,1849,26,0
863,4007,4487,690,0,0
864,7399,1785,0,0,0
865,7853,1331,0,0,0
866,6721,2461,2,0,0
867,4439,4745,0,0,0
868,6737,2299,148,0,0
869,2528,6348,308,0,0
870,2229,5185,1770,0,0
871,3544,2614,2410,576,40
872,3308,2566,2589,651,70
873,3868,1503,1809,1750,254
874,5214,3819,151,0,0
875,8704,480,0,0,0
876,8491,693,0,0,0
877,5954,3230,0,0,0
878,6426,2758,0,0,0
879,7256,1928,0,0,0
880,2657,4551,1916,60,0
881,2347,4239,2591,7,0
882,3277,3611,2296,0,0
883,2541,4313,2291,39,0
884,2617,3009,3468,90,0
885,3783,3410,1893,98,0
886,5737,2906,541,0,0
887,2803,4205,2176,0,0
888,7979,1205,0,0,0
889,7006,2178,0,0,0
890,7157,2027,0,0,0
891,8689,491,4,0,0
892,7731,1453,0,0,0
893,3038,5767,379,0,0
894,2554,3726,2612,292,0
895,2100,2036,4019,935,94
896,2287,3071,3618,207,1
897,697,3142,4287,1030,28
898,3308,4871,1005,0,0
899,5645,3392,147,0,0
900,5425,3759,0,0,0
